userid,checkin_time,checkout_time,sp_lat,sp_lon,stay_duration,sp_week_day,cluster_label,cluster_lat,cluster_lon
20,2019-05-18 15:57:05,2019-05-18 17:16:49,22.6439,113.855467,0 days 01:19:44,5,2,22.64446116666667,113.85613316666667
20,2019-05-18 18:00:50,2019-05-19 05:26:54,22.571065,113.863953,0 days 11:26:04,6,1,22.570867200000006,113.8639100727273
20,2019-05-19 06:26:23,2019-05-19 16:34:07,22.607403,114.301022,0 days 10:07:44,6,-1,22.607403,114.301022
20,2019-05-19 18:26:57,2019-05-20 08:29:08,22.570723,113.863802,0 days 14:02:11,0,1,22.570867200000006,113.8639100727273
20,2019-05-20 08:47:59,2019-05-20 20:10:11,22.569027,113.89509,0 days 11:22:12,0,0,22.56868187804879,113.8951422764228
20,2019-05-20 20:27:04,2019-05-22 10:05:26,22.57093,113.863938,1 days 13:38:22,2,1,22.570867200000006,113.8639100727273
20,2019-05-22 10:21:52,2019-05-22 10:53:47,22.64484,113.857087,0 days 00:31:55,2,2,22.64446116666667,113.85613316666667
20,2019-05-22 11:22:47,2019-05-22 14:13:56,22.570757,113.863762,0 days 02:51:09,2,1,22.570867200000006,113.8639100727273
20,2019-05-22 14:33:37,2019-05-23 08:25:00,22.568882,113.894942,0 days 17:51:23,3,0,22.56868187804879,113.8951422764228
20,2019-05-23 08:49:55,2019-05-23 17:19:37,22.56906,113.894897,0 days 08:29:42,3,0,22.56868187804879,113.8951422764228
20,2019-05-23 17:49:53,2019-05-24 08:15:35,22.570915,113.864018,0 days 14:25:42,4,1,22.570867200000006,113.8639100727273
20,2019-05-24 08:34:32,2019-05-24 12:12:15,22.56902,113.894863,0 days 03:37:43,4,0,22.56868187804879,113.8951422764228
20,2019-05-24 13:01:07,2019-05-24 16:34:35,22.514035,114.057697,0 days 03:33:28,4,-1,22.514035,114.057697
20,2019-05-24 17:17:51,2019-05-24 18:09:58,22.569677,113.883547,0 days 00:52:07,4,8,22.569715666666667,113.88403566666666
20,2019-05-24 18:20:41,2019-05-25 08:25:37,22.568898,113.869033,0 days 14:04:56,5,9,22.5690272,113.86913440000001
20,2019-05-25 08:38:50,2019-05-25 11:32:51,22.566775,113.895542,0 days 02:54:01,5,0,22.56868187804879,113.8951422764228
20,2019-05-25 12:18:47,2019-05-27 08:28:06,22.5709,113.863893,1 days 20:09:19,0,1,22.570867200000006,113.8639100727273
20,2019-05-27 08:44:04,2019-05-27 19:43:15,22.56898,113.895145,0 days 10:59:11,0,0,22.56868187804879,113.8951422764228
20,2019-05-27 20:05:32,2019-05-28 08:32:26,22.570947,113.863915,0 days 12:26:54,1,1,22.570867200000006,113.8639100727273
20,2019-05-28 08:52:15,2019-05-29 08:43:20,22.56917,113.894798,0 days 23:51:05,2,0,22.56868187804879,113.8951422764228
20,2019-05-29 09:00:48,2019-05-30 09:27:58,22.569068,113.895082,1 days 00:27:10,3,0,22.56868187804879,113.8951422764228
20,2019-05-30 09:42:25,2019-05-30 13:22:08,22.56889,113.895022,0 days 03:39:43,3,0,22.56868187804879,113.8951422764228
20,2019-05-30 13:31:28,2019-05-30 17:59:56,22.552217,113.882073,0 days 04:28:28,3,-1,22.552217,113.882073
20,2019-05-30 18:17:08,2019-05-31 09:35:30,22.570762,113.863832,0 days 15:18:22,4,1,22.570867200000006,113.8639100727273
20,2019-05-31 09:54:29,2019-06-04 09:47:43,22.56876,113.895195,3 days 23:53:14,1,0,22.56868187804879,113.8951422764228
20,2019-06-04 10:03:50,2019-06-04 19:22:27,22.568932,113.894883,0 days 09:18:37,1,0,22.56868187804879,113.8951422764228
20,2019-06-04 19:43:24,2019-06-05 08:42:06,22.570878,113.86396,0 days 12:58:42,2,1,22.570867200000006,113.8639100727273
20,2019-06-05 09:06:10,2019-06-05 14:37:13,22.5691,113.894905,0 days 05:31:03,2,0,22.56868187804879,113.8951422764228
20,2019-06-05 14:53:56,2019-06-05 17:44:07,22.603565,113.849015,0 days 02:50:11,2,-1,22.603565,113.849015
20,2019-06-05 18:08:31,2019-06-06 08:21:48,22.570813,113.863817,0 days 14:13:17,3,1,22.570867200000006,113.8639100727273
20,2019-06-06 08:47:40,2019-06-06 13:20:47,22.569032,113.894957,0 days 04:33:07,3,0,22.56868187804879,113.8951422764228
20,2019-06-06 13:26:23,2019-06-06 14:43:43,22.56471,113.90321000000002,0 days 01:17:20,3,7,22.56458275,113.90282049999999
20,2019-06-06 15:13:01,2019-06-06 15:46:41,22.570777,113.86388999999998,0 days 00:33:40,3,1,22.570867200000006,113.8639100727273
20,2019-06-06 16:09:26,2019-06-07 00:35:23,22.568897,113.895168,0 days 08:25:57,4,0,22.56868187804879,113.8951422764228
20,2019-06-07 00:48:45,2019-06-07 08:57:23,22.570978,113.864045,0 days 08:08:38,4,1,22.570867200000006,113.8639100727273
20,2019-06-07 09:42:28,2019-06-07 13:04:55,22.63169,114.028653,0 days 03:22:27,4,10,22.632015666666664,114.028529
20,2019-06-07 13:50:04,2019-06-08 09:20:03,22.570927,113.863918,0 days 19:29:59,5,1,22.570867200000006,113.8639100727273
20,2019-06-08 09:31:57,2019-06-08 12:40:28,22.56886,113.895082,0 days 03:08:31,5,0,22.56868187804879,113.8951422764228
20,2019-06-08 12:51:37,2019-06-08 13:36:51,22.571023,113.863975,0 days 00:45:14,5,1,22.570867200000006,113.8639100727273
20,2019-06-08 13:46:20,2019-06-08 14:35:37,22.578217,113.865568,0 days 00:49:17,5,-1,22.578217,113.865568
20,2019-06-08 14:50:06,2019-06-10 09:40:16,22.569078,113.89511,1 days 18:50:10,0,0,22.56868187804879,113.8951422764228
20,2019-06-10 09:53:51,2019-06-11 09:24:50,22.568887,113.895102,0 days 23:30:59,1,0,22.56868187804879,113.8951422764228
20,2019-06-11 09:43:17,2019-06-11 19:20:40,22.5689,113.89506000000002,0 days 09:37:23,1,0,22.56868187804879,113.8951422764228
20,2019-06-11 19:48:17,2019-06-12 09:19:51,22.570422,113.863927,0 days 13:31:34,2,1,22.570867200000006,113.8639100727273
20,2019-06-12 09:35:55,2019-06-13 09:24:34,22.5689,113.894997,0 days 23:48:39,3,0,22.56868187804879,113.8951422764228
20,2019-06-13 09:40:03,2019-06-14 09:29:27,22.568855,113.89513,0 days 23:49:24,4,0,22.56868187804879,113.8951422764228
