userid,checkin_time,checkout_time,sp_lat,sp_lon,stay_duration,sp_week_day,cluster_label,cluster_lat,cluster_lon,speed_mean,speed_std,speed_max,acceleration_std,harsh_acceleration,harsh_breaking,harsh_steering,harsh_acceleration_ratio,harsh_breaking_ratio,harsh_steering_ratio,over_speed,over_speed_ratio,junction_over_speed,junction_speed_mean,fatigue_driving
20,2019-06-14 10:34:03,2019-06-14 12:21:57,22.632255,114.028572,0 days 01:47:54,4,10,22.632015666666664,114.028529,8.91886810174008,6.462391945327465,23.17580448246185,0.35293912868274857,2,2,13,0.003289473684210526,0.003289473684210526,0.02138157894736842,3,0.004934210526315789,1.0,11.622956072147565,0
20,2019-06-14 13:02:36,2019-06-17 09:28:36,22.568857,113.895023,2 days 20:26:00,0,0,22.56868187804879,113.8951422764228,11.168596441087063,6.934444227445207,24.796309465623903,0.30199467319409307,0,0,6,0.0,0.0,0.014962593516209476,21,0.05236907730673317,0.0,4.846926527638572,0
20,2019-06-17 09:48:57,2019-06-17 14:37:13,22.569058,113.895052,0 days 04:48:16,0,0,22.56868187804879,113.8951422764228,5.963302288589021,3.834610144658453,14.130819776961626,0.34270660300494526,0,0,4,0.0,0.0,0.024096385542168676,0,0.0,0.3333333333333333,5.249572819878095,0
20,2019-06-17 15:02:53,2019-06-17 15:24:13,22.610363,113.845353,0 days 00:21:20,0,-1,22.610363,113.845353,6.847834463758288,4.733739137264649,16.12031467974172,0.23947975011614964,0,0,4,0.0,0.0,0.018433179723502304,0,0.0,0.1111111111111111,4.262779638885636,0
20,2019-06-17 15:46:33,2019-06-17 16:22:32,22.580077,113.898702,0 days 00:35:59,0,-1,22.580077,113.898702,8.694126630726675,5.537393804354785,19.86008481474526,0.2595407738260586,0,0,2,0.0,0.0,0.00904977375565611,0,0.0,0.375,7.110909904035559,0
20,2019-06-17 16:34:47,2019-06-17 20:11:06,22.569038,113.8949,0 days 03:36:19,0,0,22.56868187804879,113.8951422764228,5.124044442154223,3.3161580402650803,13.669169623694415,0.42314609476049214,0,0,2,0.0,0.0,0.02197802197802198,0,0.0,0.0,7.583229642389158,0
20,2019-06-17 21:12:08,2019-06-18 08:11:30,22.578452,113.860088,0 days 10:59:22,1,-1,22.578452,113.860088,5.529297982265484,3.851902512760492,14.01110452610801,0.24721172895533186,0,0,8,0.0,0.0,0.02476780185758514,0,0.0,0.0,3.037467329845383,0
20,2019-06-18 08:35:21,2019-06-19 12:47:46,22.568923,113.894918,1 days 04:12:25,2,0,22.56868187804879,113.8951422764228,5.2181751130101715,3.536251771073194,13.186659906970805,0.3825382112454919,0,0,4,0.0,0.0,0.02185792349726776,0,0.0,0.0,7.601560350351515,0
20,2019-06-19 13:09:10,2019-06-19 14:24:11,22.53873,114.055108,0 days 01:15:01,2,-1,22.53873,114.055108,7.634913376028253,4.5044113145012545,15.79536204666818,0.46765525332418784,0,2,2,0.0,0.010362694300518135,0.010362694300518135,0,0.0,0.0,0.0,0
20,2019-06-19 14:36:41,2019-06-19 15:09:07,22.568432,114.03621,0 days 00:32:26,2,-1,22.568432,114.03621,7.334532857031013,4.598851672238301,18.53599882467181,0.4170724756425437,0,1,6,0.0,0.008064516129032258,0.04838709677419355,0,0.0,0.25,5.590039995675614,0
20,2019-06-19 15:42:09,2019-06-19 17:35:46,22.56649,113.895722,0 days 01:53:37,2,0,22.56868187804879,113.8951422764228,10.846606229005483,5.123072269230199,18.92601746309895,0.24658687212445632,0,0,1,0.0,0.0,0.003194888178913738,0,0.0,0.0,3.6050805279299514,0
